neg,neu,pos,compound
0.0,0.909,0.091,0.3612
0.226,0.657,0.117,-0.2482
0.375,0.625,0.0,-0.802
0.078,0.922,0.0,-0.1531
0.0,1.0,0.0,0.0
0.258,0.515,0.227,-0.0772
0.0,0.84,0.16,0.803
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.303,0.697,0.0,-0.7269
0.265,0.623,0.113,-0.5994
0.257,0.679,0.064,-0.7506
0.052,0.948,0.0,-0.0516
0.059,0.713,0.228,0.7964
0.055,0.878,0.067,0.1363
0.062,0.88,0.058,-0.0387
0.17,0.83,0.0,-0.5994
0.106,0.799,0.095,-0.101
0.0,1.0,0.0,0.0
0.0,0.932,0.068,0.4019
0.0,0.847,0.153,0.2023
0.17,0.737,0.093,-0.34
0.0,0.816,0.184,0.5574
0.142,0.709,0.149,0.0772
0.0,1.0,0.0,0.0
0.0,0.872,0.128,0.2263
0.216,0.784,0.0,-0.296
0.227,0.773,0.0,-0.8176
0.0,0.731,0.269,0.7964
0.067,0.839,0.094,0.2023
0.101,0.899,0.0,-0.6298
0.217,0.644,0.139,-0.4627
0.0,1.0,0.0,0.0
0.0,0.839,0.161,0.3612
0.0,0.903,0.097,0.4767
0.072,0.928,0.0,-0.3612
0.0,0.855,0.145,0.4404
0.106,0.81,0.085,-0.2565
0.06,0.857,0.084,0.296
0.0,1.0,0.0,0.0
0.0,0.872,0.128,0.2263
0.25,0.75,0.0,-0.9062
0.266,0.685,0.049,-0.8779
0.263,0.624,0.113,-0.7579
0.079,0.921,0.0,-0.3839
0.145,0.777,0.078,-0.3182
0.131,0.869,0.0,-0.6808
0.116,0.805,0.079,-0.4576
0.0,0.789,0.211,0.4939
0.21,0.696,0.094,-0.8271
0.253,0.747,0.0,-0.7783
0.0,0.895,0.105,0.4019
0.0,0.811,0.189,0.4215
0.0,1.0,0.0,0.0
0.068,0.843,0.089,-0.2415
0.084,0.802,0.115,0.2023
0.035,0.938,0.027,-0.0941
0.302,0.698,0.0,-0.5994
0.0,0.896,0.104,0.1027
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.378,0.622,0.0,-0.8074
0.0,1.0,0.0,0.0
0.315,0.559,0.126,-0.8957
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.194,0.806,0.0,-0.8555
0.0,1.0,0.0,0.0
0.148,0.852,0.0,-0.3071
0.219,0.781,0.0,-0.4939
0.0,0.741,0.259,0.8807
0.0,0.942,0.058,0.4019
0.0,0.865,0.135,0.3612
0.098,0.756,0.146,0.2263
0.0,0.886,0.114,0.5574
0.136,0.864,0.0,-0.7003
0.0,1.0,0.0,0.0
0.0,0.893,0.107,0.4767
0.0,0.871,0.129,0.5106
0.0,0.914,0.086,0.4767
0.121,0.879,0.0,-0.296
0.391,0.609,0.0,-0.7906
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.89,0.11,0.4939
0.0,1.0,0.0,0.0
0.198,0.692,0.11,-0.6808
0.0,0.757,0.243,0.9171
0.0,1.0,0.0,0.0
0.151,0.849,0.0,-0.4767
0.133,0.867,0.0,-0.6705
0.093,0.907,0.0,-0.2846
0.0,0.881,0.119,0.4767
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.092,0.802,0.106,0.1779
0.0,1.0,0.0,0.0
0.175,0.688,0.138,-0.1531
0.123,0.877,0.0,-0.2755
0.0,0.82,0.18,0.5709
0.169,0.831,0.0,-0.6239
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.136,0.864,0.0,-0.296
0.103,0.69,0.207,0.6705
0.128,0.745,0.128,0.0
0.231,0.769,0.0,-0.8316
0.082,0.918,0.0,-0.3612
0.06,0.94,0.0,-0.4019
0.216,0.784,0.0,-0.8553
0.356,0.644,0.0,-0.8555
0.073,0.831,0.097,0.2617
0.05,0.81,0.14,0.6249
0.0,0.889,0.111,0.4588
0.241,0.707,0.052,-0.7351
0.227,0.773,0.0,-0.5267
0.0,0.821,0.179,0.5411
0.119,0.721,0.16,0.2732
0.0,0.954,0.046,0.0258
0.058,0.942,0.0,-0.296
0.0,0.828,0.172,0.3612
0.0,0.85,0.15,0.7729
0.0,0.398,0.602,0.891
0.0,0.958,0.042,0.1779
0.168,0.737,0.095,-0.5994
0.0,0.913,0.087,0.3182
0.115,0.795,0.09,0.0258
0.0,1.0,0.0,0.0
0.0,0.851,0.149,0.4215
0.144,0.856,0.0,-0.4939
0.0,1.0,0.0,0.0
0.316,0.684,0.0,-0.5719
0.145,0.855,0.0,-0.296
0.098,0.764,0.138,0.1779
0.218,0.782,0.0,-0.5994
0.0,1.0,0.0,0.0
0.323,0.677,0.0,-0.7351
0.0,0.813,0.187,0.6486
0.16,0.84,0.0,-0.2263
0.0,0.907,0.093,0.5574
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.174,0.826,0.0,-0.2755
0.308,0.692,0.0,-0.5994
0.05,0.653,0.297,0.8977
0.0,1.0,0.0,0.0
0.3,0.559,0.141,-0.4528
0.306,0.694,0.0,-0.915
0.0,0.814,0.186,0.4939
0.0,1.0,0.0,0.0
0.341,0.659,0.0,-0.9618
0.0,1.0,0.0,0.0
0.0,0.778,0.222,0.5719
0.281,0.719,0.0,-0.8625
0.0,1.0,0.0,0.0
0.0,0.351,0.649,0.5719
0.0,1.0,0.0,0.0
0.0,0.764,0.236,0.8126
0.0,1.0,0.0,0.0
0.155,0.688,0.157,0.0296
0.0,1.0,0.0,0.0
0.024,0.809,0.166,0.745
0.0,1.0,0.0,0.0
0.209,0.791,0.0,-0.765
0.25,0.658,0.092,-0.8126
0.08,0.92,0.0,-0.1027
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.115,0.885,0.0,-0.296
0.075,0.925,0.0,-0.1779
0.15,0.85,0.0,-0.6662
0.462,0.538,0.0,-0.6486
0.048,0.789,0.163,0.743
0.08,0.92,0.0,-0.5106
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.294,0.706,0.0,-0.6326
0.164,0.836,0.0,-0.5423
0.4,0.6,0.0,-0.8402
0.0,1.0,0.0,0.0
0.154,0.812,0.034,-0.7964
0.251,0.668,0.081,-0.8658
0.0,0.905,0.095,0.4767
0.0,0.717,0.283,0.9451
0.0,0.886,0.114,0.7096
0.225,0.775,0.0,-0.4939
0.187,0.813,0.0,-0.7351
0.171,0.829,0.0,-0.8728
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.262,0.595,0.143,-0.4588
0.345,0.655,0.0,-0.6461
0.159,0.841,0.0,-0.6486
0.0,1.0,0.0,0.0
0.173,0.738,0.089,-0.3182
0.0,0.951,0.049,0.1027
0.081,0.919,0.0,-0.5574
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.219,0.781,0.0,-0.3052
0.216,0.784,0.0,-0.296
0.04,0.96,0.0,-0.2023
0.0,1.0,0.0,0.0
0.095,0.905,0.0,-0.296
0.0,0.942,0.058,0.0772
0.0,0.825,0.175,0.1779
0.0,1.0,0.0,0.0
0.078,0.88,0.042,-0.1901
0.0,0.71,0.29,0.9336
0.132,0.772,0.096,-0.2732
0.147,0.763,0.09,-0.4215
0.0,0.925,0.075,0.4767
0.0,1.0,0.0,0.0
0.161,0.839,0.0,-0.3612
0.128,0.872,0.0,-0.296
0.146,0.854,0.0,-0.34
0.185,0.735,0.079,-0.5574
